Beam energy dependence of higher moments of net-charge multiplity 
distributions in Au+Au collisions at RHIC

Fig.1                                                                                                                 
(Efficiency corrected Mean, Std. Deviation, skewness and kurtosis for different 
centralities for different energies) 


Mean                                                                                    

AuAu 200 GeV

Npart    Mean    Stat.Err    Sys.Err
75.08    0.0764643    0.008152    0.0296492
113.49    0.0641062    0.00993218    0.010373
164.59    0.0781377    0.0119078    0.0260194
232.08    0.0901437    0.0141284    0.0254831
296.71    0.0792345    0.0224504    0.0238604
344.4    0.082716    0.0247567    0.00827099
                                        
Au+Au 39 GeV

Npart    S*sigma    Stat.Err    Sys.Err
14.07    0.0826639    0.00258853    0.0309462
26.23    0.0943177    0.00301234    0.0220955
45.25    0.10269    0.00379953    0.0209036
72.86    0.109571    0.00461125    0.0416872
110.54    0.111668    0.00568551    0.0211773
160.87    0.100961    0.00684657    0.0147439
227.72    0.108995    0.00812102    0.0366786
291.95    0.110891    0.013057    0.0346065
341.76    0.046641    0.0139036    0.0425977
                                        
Au+Au 27 GeV

Npart    S*sigma    Stat.Err    Sys.Err
13.43    0.100887    0.00459728    0.00434414
26.06    0.12705    0.00559343    0.00632605
45.43    0.120443    0.00709085    0.00397699
72.93    0.127264    0.0085363    0.00574617
110.87    0.134619    0.0103725    0.0176877
161.17    0.141848    0.0126532    0.0128787
227.42    0.134109    0.0150917    0.010796
291.78    0.148046    0.0242713    0.0305853
340.96    0.0958223    0.0266736    0.0503641
                                        
Au+Au 19.6 GeV

Npart    S*sigma    Stat.Err    Sys.Err
17.96    0.159074    0.00572664    0.00899301
31.43    0.183688    0.0073494    0.00895129
51.21    0.194288    0.00850798    0.0113196
79.93    0.208094    0.0108819    0.0137531
117.86    0.212832    0.0132759    0.00806356
167.02    0.225204    0.0156884    0.0156411
232.41    0.223896    0.0189367    0.0109276
293.93    0.182302    0.0305038    0.0651541
340.67    0.186712    0.0332219    0.0666065
                                        
Au+Au 11.5 GeV

Npart    S*sigma    Stat.Err    Sys.Err
14.044    0.249808    0.0141757    0.0377223
25.59    0.271827    0.0161135    0.0205433
44.32    0.358573    0.0198609    0.0121575
71.92    0.343846    0.0254161    0.0677014
109.3    0.394714    0.0305223    0.0354491
158.38    0.334006    0.036583    0.0960397
224.29    0.379543    0.0428984    0.0357668
288.74    0.297984    0.0701137    0.0880463
338.42    0.329271    0.0745375    0.105381
                                        
Au+Au 7.7 GeV

Npart    S*sigma    Stat.Err    Sys.Err
13.85    0.372944    0.017981    0.00948969
25.62    0.473231    0.0197297    0.0143993
44.56    0.537644    0.0248623    0.0239247
71.36    0.607843    0.0302335    0.027981
109.02    0.530122    0.0348359    0.0534127
160.94    0.561072    0.0431822    0.0415452
226.64    0.516549    0.0509585    0.135339
290.41    0.485725    0.0837882    0.0777931
337.36    0.389412    0.0873247    0.0886305


Efficiency Corrected Skewness*St.Deviation (S*sigma)                                    
________________________________________________________________


Au+Au 200 GeV

Npart    S*sigma    Stat.Err    Sys.Err
14.96     0.0392179      0.00761239     0.021385
27.43     0.040811      0.0094894     0.0309247
47.21     0.0220566      0.0117237     0.0178542
76.93     0.0466845      0.0148775     0.0190544
116.73     0.0807747      0.0189759     0.0160109
169.02     0.0306897      0.0236091     0.069025
237.26     0.0236027      0.027788     0.0582937
302.22     -0.0141835      0.0440393     0.0589546
349.67     -0.0188162      0.0477387     0.0409418
                                        
Au+Au 62.4 GeV

Npart    S*sigma    Stat.Err    Sys.Err
13.78     0.0711058      0.0118494     0.0197959
26.56     0.0929742      0.0125439     0.0382226
46.26     0.101171      0.0156019     0.0366289
75.08     0.104993      0.0200825     0.0414804
113.49     0.071796      0.0251784     0.0128203
164.59     0.107442      0.031344     0.04548
